participant,stimulus,timestamp_ms,x,y,screen_w,screen_h
P02,stim_B_02.png,16,521,132,1536,738
P02,stim_B_02.png,51,531,134,1536,738
P02,stim_B_02.png,83,538,136,1536,738
P02,stim_B_02.png,120,544,137,1536,738
P02,stim_B_02.png,154,551,138,1536,738
P02,stim_B_02.png,189,552,138,1536,738
P02,stim_B_02.png,226,556,139,1536,738
P02,stim_B_02.png,265,557,139,1536,738
P02,stim_B_02.png,304,562,140,1536,738
P02,stim_B_02.png,338,567,141,1536,738
P02,stim_B_02.png,372,567,141,1536,738
P02,stim_B_02.png,408,566,140,1536,738
P02,stim_B_02.png,447,565,140,1536,738
P02,stim_B_02.png,480,560,139,1536,738
P02,stim_B_02.png,515,558,138,1536,738
P02,stim_B_02.png,549,552,137,1536,738
P02,stim_B_02.png,585,552,137,1536,738
P02,stim_B_02.png,619,551,136,1536,738
P02,stim_B_02.png,654,547,135,1536,738
P02,stim_B_02.png,688,547,135,1536,738
P02,stim_B_02.png,722,543,134,1536,738
P02,stim_B_02.png,765,541,134,1536,738
P02,stim_B_02.png,799,541,134,1536,738
P02,stim_B_02.png,834,544,135,1536,738
P02,stim_B_02.png,868,548,136,1536,738
P02,stim_B_02.png,902,546,135,1536,738
P02,stim_B_02.png,935,545,135,1536,738
P02,stim_B_02.png,968,540,134,1536,738
P02,stim_B_02.png,1002,545,135,1536,738
P02,stim_B_02.png,1038,538,133,1536,738
P02,stim_B_02.png,1073,541,134,1536,738
P02,stim_B_02.png,1107,544,135,1536,738
P02,stim_B_02.png,1143,545,135,1536,738
P02,stim_B_02.png,1178,548,136,1536,738
P02,stim_B_02.png,1211,551,137,1536,738
P02,stim_B_02.png,1246,549,136,1536,738
P02,stim_B_02.png,1279,548,136,1536,738
P02,stim_B_02.png,1313,547,135,1536,738
P02,stim_B_02.png,1347,547,136,1536,738
P02,stim_B_02.png,1384,546,135,1536,738
P02,stim_B_02.png,1419,544,135,1536,738
P02,stim_B_02.png,1452,551,136,1536,738
P02,stim_B_02.png,1484,553,137,1536,738
P02,stim_B_02.png,1517,555,137,1536,738
P02,stim_B_02.png,1550,567,140,1536,738
P02,stim_B_02.png,1583,575,142,1536,738
P02,stim_B_02.png,1617,583,144,1536,738
P02,stim_B_02.png,1649,590,145,1536,738
P02,stim_B_02.png,1683,596,147,1536,738
P02,stim_B_02.png,1717,600,148,1536,738
P02,stim_B_02.png,1752,600,148,1536,738
P02,stim_B_02.png,1787,589,146,1536,738
P02,stim_B_02.png,1820,581,143,1536,738
P02,stim_B_02.png,1854,573,141,1536,738
P02,stim_B_02.png,1887,567,140,1536,738
P02,stim_B_02.png,1924,563,139,1536,738
P02,stim_B_02.png,1962,549,136,1536,738
P02,stim_B_02.png,1996,538,133,1536,738
P02,stim_B_02.png,2031,534,132,1536,738
P02,stim_B_02.png,2064,527,131,1536,738
P02,stim_B_02.png,2098,523,130,1536,738
P02,stim_B_02.png,2132,517,128,1536,738
P02,stim_B_02.png,2164,507,126,1536,738
P02,stim_B_02.png,2197,499,124,1536,738
P02,stim_B_02.png,2230,491,122,1536,738
P02,stim_B_02.png,2265,486,121,1536,738
P02,stim_B_02.png,2301,480,119,1536,738
P02,stim_B_02.png,2334,467,116,1536,738
P02,stim_B_02.png,2368,465,115,1536,738
P02,stim_B_02.png,2402,468,116,1536,738
P02,stim_B_02.png,2435,465,115,1536,738
P02,stim_B_02.png,2468,460,114,1536,738
P02,stim_B_02.png,2503,456,113,1536,738
P02,stim_B_02.png,2536,456,113,1536,738
P02,stim_B_02.png,2571,456,113,1536,738
P02,stim_B_02.png,2605,464,115,1536,738
P02,stim_B_02.png,2640,476,118,1536,738
P02,stim_B_02.png,2673,491,122,1536,738
P02,stim_B_02.png,2713,498,123,1536,738
P02,stim_B_02.png,2747,509,126,1536,738
P02,stim_B_02.png,2784,517,128,1536,738
P02,stim_B_02.png,2818,503,124,1536,738
P02,stim_B_02.png,2851,479,119,1536,738
P02,stim_B_02.png,2883,460,114,1536,738
P02,stim_B_02.png,2916,445,110,1536,738
P02,stim_B_02.png,2948,419,104,1536,738
P02,stim_B_02.png,2983,399,99,1536,738
P02,stim_B_02.png,3017,400,99,1536,738
P02,stim_B_02.png,3052,425,105,1536,738
P02,stim_B_02.png,3086,453,112,1536,738
P02,stim_B_02.png,3120,474,117,1536,738
P02,stim_B_02.png,3152,492,122,1536,738
P02,stim_B_02.png,3186,511,127,1536,738
P02,stim_B_02.png,3219,520,129,1536,738
P02,stim_B_02.png,3253,528,131,1536,738
P02,stim_B_02.png,3287,537,133,1536,738
P02,stim_B_02.png,3323,542,134,1536,738
P02,stim_B_02.png,3363,546,136,1536,738
P02,stim_B_02.png,3396,541,134,1536,738
P02,stim_B_02.png,3431,541,134,1536,738
P02,stim_B_02.png,3467,543,135,1536,738
P02,stim_B_02.png,3503,538,134,1536,738
P02,stim_B_02.png,3537,537,133,1536,738
P02,stim_B_02.png,3574,532,132,1536,738
P02,stim_B_02.png,3607,527,131,1536,738
P02,stim_B_02.png,3650,517,128,1536,738
P02,stim_B_02.png,3686,471,117,1536,738
P02,stim_B_02.png,3725,435,108,1536,738
P02,stim_B_02.png,3761,396,98,1536,738
P02,stim_B_02.png,3797,370,91,1536,738
P02,stim_B_02.png,3834,347,86,1536,738
P02,stim_B_02.png,3869,363,90,1536,738
P02,stim_B_02.png,3905,387,96,1536,738
P02,stim_B_02.png,3942,412,102,1536,738
P02,stim_B_02.png,3978,438,108,1536,738
P02,stim_B_02.png,4011,465,115,1536,738
P02,stim_B_02.png,4046,490,121,1536,738
P02,stim_B_02.png,4078,511,126,1536,738
P02,stim_B_02.png,4145,526,130,1536,738
P02,stim_B_02.png,4224,538,133,1536,738
P02,stim_B_02.png,4275,549,136,1536,738
P02,stim_B_02.png,4310,558,138,1536,738
P02,stim_B_02.png,4368,563,140,1536,738
P02,stim_B_02.png,4417,568,141,1536,738
P02,stim_B_02.png,4478,562,139,1536,738
P02,stim_B_02.png,4567,560,139,1536,738
P02,stim_B_02.png,4627,555,138,1536,738
P02,stim_B_02.png,4677,555,138,1536,738
P02,stim_B_02.png,4763,553,137,1536,738
P02,stim_B_02.png,4796,554,137,1536,738
P02,stim_B_02.png,4839,555,138,1536,738
P02,stim_B_02.png,4874,549,136,1536,738
P02,stim_B_02.png,4936,549,136,1536,738
P02,stim_B_02.png,4995,549,136,1536,738
P02,stim_B_02.png,5038,549,136,1536,738
P02,stim_B_02.png,5074,547,136,1536,738
P02,stim_B_02.png,5135,545,135,1536,738
P02,stim_B_02.png,5179,543,135,1536,738
P02,stim_B_02.png,5210,545,135,1536,738
P02,stim_B_02.png,5242,540,134,1536,738
P02,stim_B_02.png,5277,543,135,1536,738
P02,stim_B_02.png,5310,544,135,1536,738
P02,stim_B_02.png,5346,541,134,1536,738
P02,stim_B_02.png,5378,535,132,1536,738
P02,stim_B_02.png,5413,529,131,1536,738
P02,stim_B_02.png,5447,518,128,1536,738
P02,stim_B_02.png,5482,522,129,1536,738
P02,stim_B_02.png,5517,521,129,1536,738
P02,stim_B_02.png,5549,521,129,1536,738
P02,stim_B_02.png,5584,518,128,1536,738
P02,stim_B_02.png,5618,517,128,1536,738
P02,stim_B_02.png,5651,522,129,1536,738
P02,stim_B_02.png,5686,521,129,1536,738
P02,stim_B_02.png,5719,523,130,1536,738
P02,stim_B_02.png,5758,529,131,1536,738
P02,stim_B_02.png,5791,529,131,1536,738
P02,stim_B_02.png,5825,535,132,1536,738
P02,stim_B_02.png,5859,538,133,1536,738
P02,stim_B_02.png,5891,540,134,1536,738
P02,stim_B_02.png,5927,538,133,1536,738
P02,stim_B_02.png,5962,543,135,1536,738
P02,stim_B_02.png,5995,547,136,1536,738
P02,stim_A_02.png,32,526,131,1536,738
P02,stim_A_02.png,64,531,132,1536,738
P02,stim_A_02.png,98,531,132,1536,738
P02,stim_A_02.png,132,535,133,1536,738
P02,stim_A_02.png,166,537,133,1536,738
P02,stim_A_02.png,198,535,133,1536,738
P02,stim_A_02.png,230,531,132,1536,738
P02,stim_A_02.png,263,533,132,1536,738
P02,stim_A_02.png,296,535,133,1536,738
P02,stim_A_02.png,333,534,132,1536,738
P02,stim_A_02.png,365,539,134,1536,738
P02,stim_A_02.png,400,544,135,1536,738
P02,stim_A_02.png,435,546,135,1536,738
P02,stim_A_02.png,468,544,135,1536,738
P02,stim_A_02.png,501,538,133,1536,738
P02,stim_A_02.png,533,537,133,1536,738
P02,stim_A_02.png,568,532,132,1536,738
P02,stim_A_02.png,602,523,130,1536,738
P02,stim_A_02.png,633,515,127,1536,738
P02,stim_A_02.png,666,509,126,1536,738
P02,stim_A_02.png,703,513,127,1536,738
P02,stim_A_02.png,735,505,125,1536,738
P02,stim_A_02.png,769,501,124,1536,738
P02,stim_A_02.png,802,497,123,1536,738
P02,stim_A_02.png,837,499,123,1536,738
P02,stim_A_02.png,868,496,123,1536,738
P02,stim_A_02.png,901,500,124,1536,738
P02,stim_A_02.png,935,512,127,1536,738
P02,stim_A_02.png,969,523,129,1536,738
P02,stim_A_02.png,1003,533,132,1536,738
P02,stim_A_02.png,1037,542,134,1536,738
P02,stim_A_02.png,1071,554,137,1536,738
P02,stim_A_02.png,1105,563,140,1536,738
P02,stim_A_02.png,1138,566,140,1536,738
P02,stim_A_02.png,1172,572,142,1536,738
P02,stim_A_02.png,1205,577,143,1536,738
P02,stim_A_02.png,1240,577,143,1536,738
P02,stim_A_02.png,1272,578,143,1536,738
P02,stim_A_02.png,1304,575,142,1536,738
P02,stim_A_02.png,1337,575,142,1536,738
P02,stim_A_02.png,1371,572,141,1536,738
P02,stim_A_02.png,1406,571,141,1536,738
P02,stim_A_02.png,1438,567,140,1536,738
P02,stim_A_02.png,1471,561,139,1536,738
P02,stim_A_02.png,1505,557,138,1536,738
P02,stim_A_02.png,1539,557,138,1536,738
P02,stim_A_02.png,1573,556,138,1536,738
P02,stim_A_02.png,1606,554,138,1536,738
P02,stim_A_02.png,1639,553,137,1536,738
P02,stim_A_02.png,1673,550,136,1536,738
P02,stim_A_02.png,1707,545,135,1536,738
P02,stim_A_02.png,1742,538,133,1536,738
P02,stim_A_02.png,1781,528,131,1536,738
P02,stim_A_02.png,1813,526,130,1536,738
P02,stim_A_02.png,1861,523,130,1536,738
P02,stim_A_02.png,1899,522,129,1536,738
P02,stim_A_02.png,1935,521,129,1536,738
P02,stim_A_02.png,1969,517,128,1536,738
P02,stim_A_02.png,2002,519,129,1536,738
P02,stim_A_02.png,2035,522,129,1536,738
P02,stim_A_02.png,2070,526,130,1536,738
P02,stim_A_02.png,2102,529,131,1536,738
P02,stim_A_02.png,2137,529,131,1536,738
P02,stim_A_02.png,2171,533,132,1536,738
P02,stim_A_02.png,2206,534,132,1536,738
P02,stim_A_02.png,2239,529,131,1536,738
P02,stim_A_02.png,2273,533,132,1536,738
P02,stim_A_02.png,2306,538,133,1536,738
P02,stim_A_02.png,2339,536,133,1536,738
P02,stim_A_02.png,2373,537,133,1536,738
P02,stim_A_02.png,2406,541,134,1536,738
P02,stim_A_02.png,2439,541,134,1536,738
P02,stim_A_02.png,2472,543,134,1536,738
P02,stim_A_02.png,2507,542,134,1536,738
P02,stim_A_02.png,2542,536,133,1536,738
P02,stim_A_02.png,2573,526,130,1536,738
P02,stim_A_02.png,2606,512,127,1536,738
P02,stim_A_02.png,2640,520,129,1536,738
P02,stim_A_02.png,2673,528,130,1536,738
P02,stim_A_02.png,2705,531,131,1536,738
P02,stim_A_02.png,2738,538,133,1536,738
P02,stim_A_02.png,2771,543,134,1536,738
P02,stim_A_02.png,2805,547,135,1536,738
P02,stim_A_02.png,2838,552,136,1536,738
P02,stim_A_02.png,2869,559,138,1536,738
P02,stim_A_02.png,2903,570,141,1536,738
P02,stim_A_02.png,2938,569,141,1536,738
P02,stim_A_02.png,2972,567,140,1536,738
P02,stim_A_02.png,3005,573,141,1536,738
P02,stim_A_02.png,3040,573,141,1536,738
P02,stim_A_02.png,3074,574,141,1536,738
P02,stim_A_02.png,3108,574,142,1536,738
P02,stim_A_02.png,3143,578,143,1536,738
P02,stim_A_02.png,3182,589,145,1536,738
P02,stim_A_02.png,3213,595,147,1536,738
P02,stim_A_02.png,3245,595,147,1536,738
P02,stim_A_02.png,3281,596,147,1536,738
P02,stim_A_02.png,3312,595,147,1536,738
P02,stim_A_02.png,3347,594,147,1536,738
P02,stim_A_02.png,3380,592,146,1536,738
P02,stim_A_02.png,3412,586,145,1536,738
P02,stim_A_02.png,3447,585,144,1536,738
P02,stim_A_02.png,3482,576,142,1536,738
P02,stim_A_02.png,3514,567,140,1536,738
P02,stim_A_02.png,3546,559,138,1536,738
