participant,stimulus,timestamp_ms,x,y,screen_w,screen_h
P03,stim_B_03.png,15,535,135,1536,738
P03,stim_B_03.png,49,534,135,1536,738
P03,stim_B_03.png,87,539,136,1536,738
P03,stim_B_03.png,121,538,135,1536,738
P03,stim_B_03.png,153,536,134,1536,738
P03,stim_B_03.png,187,538,135,1536,738
P03,stim_B_03.png,221,536,134,1536,738
P03,stim_B_03.png,256,538,134,1536,738
P03,stim_B_03.png,299,538,134,1536,738
P03,stim_B_03.png,334,538,134,1536,738
P03,stim_B_03.png,367,541,134,1536,738
P03,stim_B_03.png,402,542,134,1536,738
P03,stim_B_03.png,438,546,135,1536,738
P03,stim_B_03.png,474,552,136,1536,738
P03,stim_B_03.png,515,556,137,1536,738
P03,stim_B_03.png,550,552,136,1536,738
P03,stim_B_03.png,584,549,136,1536,738
P03,stim_B_03.png,618,550,136,1536,738
P03,stim_B_03.png,652,546,135,1536,738
P03,stim_B_03.png,687,546,135,1536,738
P03,stim_B_03.png,721,549,136,1536,738
P03,stim_B_03.png,757,552,136,1536,738
P03,stim_B_03.png,799,553,137,1536,738
P03,stim_B_03.png,834,551,136,1536,738
P03,stim_B_03.png,869,542,134,1536,738
P03,stim_B_03.png,905,551,136,1536,738
P03,stim_B_03.png,937,556,137,1536,738
P03,stim_B_03.png,971,564,139,1536,738
P03,stim_B_03.png,1005,573,142,1536,738
P03,stim_B_03.png,1040,573,141,1536,738
P03,stim_B_03.png,1077,578,143,1536,738
P03,stim_B_03.png,1110,581,143,1536,738
P03,stim_B_03.png,1142,573,141,1536,738
P03,stim_B_03.png,1178,577,142,1536,738
P03,stim_B_03.png,1211,576,142,1536,738
P03,stim_B_03.png,1244,580,143,1536,738
P03,stim_B_03.png,1276,580,143,1536,738
P03,stim_B_03.png,1309,582,144,1536,738
P03,stim_B_03.png,1342,586,144,1536,738
P03,stim_B_03.png,1378,588,145,1536,738
P03,stim_B_03.png,1413,591,146,1536,738
P03,stim_B_03.png,1445,596,147,1536,738
P03,stim_B_03.png,1477,601,148,1536,738
P03,stim_B_03.png,1511,602,148,1536,738
P03,stim_B_03.png,1543,607,149,1536,738
P03,stim_B_03.png,1575,612,151,1536,738
P03,stim_B_03.png,1608,607,150,1536,738
P03,stim_B_03.png,1644,605,149,1536,738
P03,stim_B_03.png,1678,595,147,1536,738
P03,stim_B_03.png,1712,585,145,1536,738
P03,stim_B_03.png,1747,578,143,1536,738
P03,stim_B_03.png,1780,575,142,1536,738
P03,stim_B_03.png,1813,566,140,1536,738
P03,stim_B_03.png,1849,557,138,1536,738
P03,stim_B_03.png,1884,548,136,1536,738
P03,stim_B_03.png,1916,538,133,1536,738
P03,stim_B_03.png,1951,530,131,1536,738
P03,stim_B_03.png,1984,526,130,1536,738
P03,stim_B_03.png,2017,521,129,1536,738
P03,stim_B_03.png,2051,513,127,1536,738
P03,stim_B_03.png,2084,510,126,1536,738
P03,stim_B_03.png,2117,507,125,1536,738
P03,stim_B_03.png,2151,500,124,1536,738
P03,stim_B_03.png,2185,491,122,1536,738
P03,stim_B_03.png,2218,484,120,1536,738
P03,stim_B_03.png,2252,468,116,1536,738
P03,stim_B_03.png,2285,452,112,1536,738
P03,stim_B_03.png,2318,445,110,1536,738
P03,stim_B_03.png,2351,454,113,1536,738
P03,stim_B_03.png,2387,456,113,1536,738
P03,stim_B_03.png,2420,461,114,1536,738
P03,stim_B_03.png,2454,472,117,1536,738
P03,stim_B_03.png,2488,471,117,1536,738
P03,stim_B_03.png,2524,472,117,1536,738
P03,stim_B_03.png,2558,489,121,1536,738
P03,stim_B_03.png,2594,504,125,1536,738
P03,stim_B_03.png,2626,518,128,1536,738
P03,stim_B_03.png,2659,531,131,1536,738
P03,stim_B_03.png,2694,547,135,1536,738
P03,stim_B_03.png,2736,560,139,1536,738
P03,stim_B_03.png,2770,569,141,1536,738
P03,stim_B_03.png,2804,571,141,1536,738
P03,stim_B_03.png,2838,584,145,1536,738
P03,stim_B_03.png,2873,590,146,1536,738
P03,stim_B_03.png,2908,596,147,1536,738
P03,stim_B_03.png,2942,601,149,1536,738
P03,stim_B_03.png,2977,601,149,1536,738
P03,stim_B_03.png,3011,606,150,1536,738
P03,stim_B_03.png,3046,604,149,1536,738
P03,stim_B_03.png,3081,596,147,1536,738
P03,stim_B_03.png,3115,593,146,1536,738
P03,stim_B_03.png,3147,594,146,1536,738
P03,stim_B_03.png,3179,592,146,1536,738
P03,stim_B_03.png,3213,592,146,1536,738
P03,stim_B_03.png,3247,599,148,1536,738
P03,stim_B_03.png,3286,593,146,1536,738
P03,stim_B_03.png,3319,579,143,1536,738
P03,stim_B_03.png,3352,575,142,1536,738
P03,stim_B_03.png,3386,570,141,1536,738
P03,stim_B_03.png,3420,568,141,1536,738
P03,stim_B_03.png,3455,567,141,1536,738
P03,stim_B_03.png,3488,567,141,1536,738
P03,stim_B_03.png,3527,554,138,1536,738
P03,stim_B_03.png,3562,551,137,1536,738
P03,stim_B_03.png,3597,549,136,1536,738
P03,stim_B_03.png,3630,551,137,1536,738
P03,stim_B_03.png,3663,555,138,1536,738
P03,stim_B_03.png,3695,556,138,1536,738
P03,stim_B_03.png,3725,551,137,1536,738
P03,stim_B_03.png,3758,547,136,1536,738
P03,stim_B_03.png,3793,544,135,1536,738
P03,stim_B_03.png,3827,522,129,1536,738
P03,stim_B_03.png,3859,502,125,1536,738
P03,stim_B_03.png,3891,470,116,1536,738
P03,stim_B_03.png,3925,450,111,1536,738
P03,stim_B_03.png,3957,442,109,1536,738
P03,stim_B_03.png,3993,413,102,1536,738
P03,stim_B_03.png,4027,405,100,1536,738
P03,stim_B_03.png,4060,417,103,1536,738
P03,stim_B_03.png,4092,436,108,1536,738
